cve_ent|year|month|homicides|pop_est|homicide_rate
01|2000|1|0|944330.1442033038|0
01|2000|2|0|944330.1442033038|0
01|2000|3|1|944330.1442033038|1.2476842062959221
01|2000|4|2|944330.1442033038|2.5785473596782387
01|2000|5|1|944330.1442033038|1.2476842062959221
01|2000|6|2|944330.1442033038|2.5785473596782387
01|2000|7|1|944330.1442033038|1.2476842062959221
01|2000|8|3|944330.1442033038|3.743052618887766
01|2000|9|2|944330.1442033038|2.5785473596782387
01|2000|10|2|944330.1442033038|2.4953684125918443
01|2000|11|1|944330.1442033038|1.2892736798391193
01|2000|12|1|944330.1442033038|1.2476842062959221
01|2001|1|3|944449.7095712995|3.7425787562148587
01|2001|2|2|944449.7095712995|2.762379558158586
01|2001|3|0|944449.7095712995|0
01|2001|4|3|944449.7095712995|3.8673313814220207
01|2001|5|3|944449.7095712995|3.7425787562148587
01|2001|6|3|944449.7095712995|3.8673313814220207
01|2001|7|1|944449.7095712995|1.2475262520716197
01|2001|8|1|944449.7095712995|1.2475262520716197
01|2001|9|3|944449.7095712995|3.8673313814220207
01|2001|10|0|944449.7095712995|0
01|2001|11|2|944449.7095712995|2.578220920948014
01|2001|12|2|944449.7095712995|2.4950525041432394
01|2002|1|2|944569.439849627|2.4947362401205426
01|2002|2|2|944569.439849627|2.762029408704887
01|2002|3|0|944569.439849627|0
01|2002|4|3|944569.439849627|3.866841172186841
01|2002|5|3|944569.439849627|3.7421043601808144
01|2002|6|2|944569.439849627|2.5778941147912278
01|2002|7|4|944569.439849627|4.989472480241085
01|2002|8|2|944569.439849627|2.4947362401205426
01|2002|9|1|944569.439849627|1.2889470573956139
01|2002|10|2|944569.439849627|2.4947362401205426
01|2002|11|4|944569.439849627|5.1557882295824555
01|2002|12|3|944569.439849627|3.7421043601808144
01|2003|1|1|944689.1701279545|1.2472100281323504
01|2003|2|0|944689.1701279545|0
01|2003|3|1|944689.1701279545|1.2472100281323504
01|2003|4|3|944689.1701279545|3.866351087210287
01|2003|5|4|944689.1701279545|4.9888401125294015
01|2003|6|5|944689.1701279545|6.443918478683811
01|2003|7|1|944689.1701279545|1.2472100281323504
01|2003|8|2|944689.1701279545|2.4944200562647008
01|2003|9|0|944689.1701279545|0
01|2003|10|2|944689.1701279545|2.4944200562647008
01|2003|11|1|944689.1701279545|1.2887836957367622
01|2003|12|3|944689.1701279545|3.7416300843970514
01|2004|1|1|944809.0653166134|1.2470517586077348
01|2004|2|0|944809.0653166134|0
01|2004|3|0|944809.0653166134|0
01|2004|4|2|944809.0653166134|2.577240301122652
01|2004|5|3|944809.0653166134|3.741155275823204
01|2004|6|2|944809.0653166134|2.577240301122652
01|2004|7|2|944809.0653166134|2.4941035172154695
01|2004|8|2|944809.0653166134|2.4941035172154695
01|2004|9|2|944809.0653166134|2.577240301122652
01|2004|10|4|944809.0653166134|4.988207034430939
01|2004|11|3|944809.0653166134|3.865860451683978
01|2004|12|1|944809.0653166134|1.2470517586077348
01|2005|1|2|944928.6306846092|2.4937879289316864
01|2005|2|0|944928.6306846092|0
01|2005|3|6|944928.6306846092|7.481363786795058
01|2005|4|0|944928.6306846092|0
01|2005|5|3|944928.6306846092|3.740681893397529
01|2005|6|4|944928.6306846092|5.153828386458819
01|2005|7|0|944928.6306846092|0
01|2005|8|2|944928.6306846092|2.4937879289316864
01|2005|9|2|944928.6306846092|2.5769141932294093
01|2005|10|1|944928.6306846092|1.2468939644658432
01|2005|11|3|944928.6306846092|3.8653712898441137
01|2005|12|2|944928.6306846092|2.4937879289316864
01|2006|1|1|945048.3609629367|1.2467359926968025
01|2006|2|3|945048.3609629367|4.1409445471715225
01|2006|3|1|945048.3609629367|1.2467359926968025
01|2006|4|1|945048.3609629367|1.2882938591200292
01|2006|5|5|945048.3609629367|6.233679963484012
01|2006|6|2|945048.3609629367|2.5765877182400585
01|2006|7|4|945048.3609629367|4.98694397078721
01|2006|8|3|945048.3609629367|3.740207978090407
01|2006|9|3|945048.3609629367|3.8648815773600877
01|2006|10|0|945048.3609629367|0
01|2006|11|3|945048.3609629367|3.8648815773600877
01|2006|12|1|945048.3609629367|1.2467359926968025
01|2007|1|2|945168.091241264|2.4931561219005616
01|2007|2|1|945168.091241264|1.3801399960520966
01|2007|3|1|945168.091241264|1.2465780609502808
01|2007|4|1|945168.091241264|1.2881306629819569
01|2007|5|3|945168.091241264|3.7397341828508424
01|2007|6|4|945168.091241264|5.1525226519278275
01|2007|7|6|945168.091241264|7.479468365701685
01|2007|8|13|945168.091241264|16.20551479235365
01|2007|9|2|945168.091241264|2.5762613259639138
01|2007|10|5|945168.091241264|6.232890304751405
01|2007|11|3|945168.091241264|3.864391988945871
01|2007|12|2|945168.091241264|2.4931561219005616
01|2008|1|4|945287.9864299231|4.985679807066746
01|2008|2|2|945287.9864299231|2.7599298931976626
01|2008|3|3|945287.9864299231|3.7392598553000598
01|2008|4|2|945287.9864299231|2.5759345669844853
01|2008|5|6|945287.9864299231|7.4785197106001196
01|2008|6|4|945287.9864299231|5.151869133968971
01|2008|7|9|945287.9864299231|11.217779565900178
01|2008|8|11|945287.9864299231|13.710619469433551
01|2008|9|6|945287.9864299231|7.727803700953457
01|2008|10|4|945287.9864299231|4.985679807066746
01|2008|11|2|945287.9864299231|2.5759345669844853
01|2008|12|6|945287.9864299231|7.4785197106001196
01|2009|1|6|945407.5517979189|7.477573904783822
01|2009|2|5|945407.5517979189|6.898952114532692
01|2009|3|7|945407.5517979189|8.723836222247794
01|2009|4|4|945407.5517979189|5.151217578851076
01|2009|5|6|945407.5517979189|7.477573904783822
01|2009|6|7|945407.5517979189|9.014630762989386
01|2009|7|5|945407.5517979189|6.231311587319851
01|2009|8|3|945407.5517979189|3.738786952391911
01|2009|9|4|945407.5517979189|5.151217578851076
01|2009|10|3|945407.5517979189|3.738786952391911
01|2009|11|5|945407.5517979189|6.439021973563846
01|2009|12|10|945407.5517979189|12.462623174639702
01|2010|1|2|1185002.1998276382|1.9885630703858423
01|2010|2|7|1185002.1998276382|7.70568189774514
01|2010|3|2|1185002.1998276382|1.9885630703858423
01|2010|4|1|1185002.1998276382|1.0274242530326854
01|2010|5|4|1185002.1998276382|3.9771261407716847
01|2010|6|6|1185002.1998276382|6.164545518196111
01|2010|7|5|1185002.1998276382|4.971407675964606
01|2010|8|11|1185002.1998276382|10.937096887122133
01|2010|9|10|1185002.1998276382|10.274242530326854
01|2010|10|8|1185002.1998276382|7.954252281543369
01|2010|11|11|1185002.1998276382|11.301666783359538
01|2010|12|9|1185002.1998276382|8.948533816736292
01|2011|1|11|1185121.301779634|10.93599773416077
01|2011|2|10|1185121.301779634|11.007010706460516
01|2011|3|8|1185121.301779634|7.95345289757147
